 שם ישוב,סמל ישוב,בזב,מצביעים,פסולים,כשרים,אמת,ג,ד,הי,הפ,הק,ו,ז,זה,זך,טב,יק,כן,מחל,מרץ,נ,ני,נץ,נק,עם,פ,פה,פז,פי,פך,פנ,פץ,ץ,צפ,צק,ק,קנ,רק,שס
בית אורן, 0000317, 0000268, 0000171, 0000001, 0000170, 0000041, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000007, 0000000, 0000000, 0000005, 0000000, 0000007, 0000019, 0000028, 0000000, 0000000, 0000003, 0000000, 0000000, 0000000, 0000041, 0000000, 0000000, 0000000, 0000000, 0000000, 0000004, 0000013, 0000000, 0000000, 0000002, 0000000, 0000000
בית אל, 0003574, 0003102, 0002658, 0000005, 0002653, 0000006, 0000029, 0000000, 0000000, 0000000, 0000000, 0000002, 0000001, 0000000, 0000000, 0001842, 0000000, 0000001, 0000212, 0000002, 0000000, 0000000, 0000430, 0000000, 0000000, 0000001, 0000007, 0000021, 0000000, 0000000, 0000001, 0000001, 0000022, 0000000, 0000000, 0000001, 0000010, 0000000, 0000064
בית אלעזרי, 0000562, 0000955, 0000721, 0000016, 0000705, 0000123, 0000000, 0000000, 0000000, 0000001, 0000000, 0000002, 0000005, 0000000, 0000000, 0000055, 0000000, 0000026, 0000154, 0000037, 0000000, 0000000, 0000011, 0000000, 0000000, 0000000, 0000145, 0000008, 0000000, 0000000, 0000000, 0000000, 0000008, 0000089, 0000005, 0000000, 0000020, 0000004, 0000012
בית אלפא, 0000095, 0000617, 0000439, 0000004, 0000435, 0000177, 0000000, 0000001, 0000000, 0000000, 0000000, 0000003, 0000015, 0000000, 0000001, 0000004, 0000000, 0000008, 0000015, 0000121, 0000000, 0000001, 0000001, 0000000, 0000000, 0000000, 0000040, 0000003, 0000000, 0000000, 0000000, 0000000, 0000001, 0000033, 0000000, 0000000, 0000004, 0000003, 0000004
בית אריה, 0003652, 0002811, 0002107, 0000011, 0002096, 0000160, 0000006, 0000000, 0000000, 0000001, 0000000, 0000000, 0000014, 0000000, 0000006, 0000365, 0000000, 0000038, 0000875, 0000017, 0000000, 0000000, 0000042, 0000000, 0000000, 0000000, 0000343, 0000017, 0000000, 0000000, 0000002, 0000000, 0000033, 0000072, 0000002, 0000000, 0000029, 0000017, 0000057
בית ג'ן, 0000480, 0007364, 0004266, 0000045, 0004221, 0000954, 0000000, 0000278, 0000000, 0000001, 0000000, 0000143, 0000002, 0000000, 0000001, 0000015, 0000001, 0000358, 0000846, 0000096, 0000000, 0000000, 0000000, 0000001, 0000015, 0000000, 0000043, 0000006, 0000000, 0000000, 0000000, 0000005, 0000005, 0000791, 0000001, 0000001, 0000007, 0000002, 0000649
בית גוברין, 0000619, 0000234, 0000181, 0000001, 0000180, 0000091, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000003, 0000000, 0000006, 0000006, 0000028, 0000000, 0000001, 0000001, 0000000, 0000000, 0000000, 0000028, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000010, 0000000, 0000001, 0000004, 0000000, 0000000
בית גמליאל, 0000571, 0000668, 0000537, 0000003, 0000534, 0000014, 0000011, 0000000, 0000000, 0000001, 0000000, 0000000, 0000002, 0000000, 0000001, 0000317, 0000000, 0000001, 0000078, 0000002, 0000000, 0000000, 0000024, 0000000, 0000000, 0000000, 0000023, 0000003, 0000000, 0000000, 0000000, 0000001, 0000016, 0000004, 0000000, 0000000, 0000002, 0000000, 0000034
בית דגן, 0000466, 0004717, 0003445, 0000031, 0003414, 0000342, 0000026, 0000002, 0000001, 0000003, 0000000, 0000004, 0000016, 0000000, 0000001, 0000404, 0000001, 0000103, 0001045, 0000057, 0000000, 0000000, 0000061, 0000000, 0000000, 0000002, 0000589, 0000159, 0000003, 0000000, 0000001, 0000003, 0000066, 0000177, 0000000, 0000000, 0000038, 0000007, 0000303
בית הגדי, 0000723, 0000443, 0000334, 0000003, 0000331, 0000003, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000106, 0000000, 0000001, 0000122, 0000000, 0000000, 0000000, 0000004, 0000001, 0000000, 0000000, 0000004, 0000005, 0000000, 0000000, 0000000, 0000000, 0000007, 0000003, 0000000, 0000000, 0000000, 0000000, 0000075
בית הלוי, 0000373, 0000474, 0000389, 0000001, 0000388, 0000084, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000016, 0000000, 0000000, 0000016, 0000000, 0000016, 0000048, 0000044, 0000000, 0000000, 0000003, 0000000, 0000000, 0000000, 0000122, 0000000, 0000000, 0000000, 0000001, 0000000, 0000003, 0000028, 0000000, 0000000, 0000005, 0000001, 0000000
בית הלל, 0000322, 0000498, 0000368, 0000000, 0000368, 0000121, 0000001, 0000000, 0000000, 0000000, 0000000, 0000001, 0000005, 0000000, 0000000, 0000022, 0000000, 0000008, 0000023, 0000036, 0000000, 0000000, 0000002, 0000000, 0000001, 0000000, 0000100, 0000000, 0000000, 0000000, 0000000, 0000000, 0000002, 0000040, 0000001, 0000000, 0000004, 0000000, 0000001
בית העמק, 0000572, 0000477, 0000316, 0000002, 0000314, 0000157, 0000000, 0000000, 0000001, 0000001, 0000000, 0000000, 0000011, 0000000, 0000000, 0000006, 0000001, 0000000, 0000029, 0000047, 0000000, 0000000, 0000001, 0000000, 0000001, 0000000, 0000034, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000015, 0000000, 0000000, 0000006, 0000002, 0000001
בית הערבה, 0003645, 0000051, 0000046, 0000001, 0000045, 0000008, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000008, 0000000, 0000000, 0000016, 0000001, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000006, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000004, 0000000, 0000000, 0000001, 0000000, 0000001
בית השיטה, 0000242, 0000988, 0000714, 0000002, 0000712, 0000376, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000017, 0000000, 0000000, 0000023, 0000000, 0000010, 0000035, 0000052, 0000000, 0000000, 0000011, 0000000, 0000000, 0000000, 0000115, 0000000, 0000000, 0000000, 0000000, 0000000, 0000003, 0000058, 0000000, 0000001, 0000006, 0000004, 0000000
בית זיד, 0000353, 0000108, 0000052, 0000001, 0000051, 0000023, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000001, 0000000, 0000000, 0000000, 0000000, 0000002, 0000004, 0000003, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000007, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000009, 0000000, 0000000, 0000000, 0000000, 0000000
בית זית, 0000710, 0001033, 0000792, 0000006, 0000786, 0000203, 0000009, 0000000, 0000000, 0000000, 0000000, 0000004, 0000019, 0000000, 0000000, 0000052, 0000000, 0000024, 0000104, 0000137, 0000000, 0000000, 0000007, 0000000, 0000002, 0000000, 0000143, 0000000, 0000000, 0000000, 0000001, 0000000, 0000015, 0000043, 0000000, 0000003, 0000008, 0000001, 0000011
בית זרע, 0000143, 0000547, 0000398, 0000004, 0000394, 0000097, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000005, 0000000, 0000000, 0000005, 0000000, 0000008, 0000015, 0000143, 0000000, 0000000, 0000000, 0000000, 0000001, 0000001, 0000076, 0000000, 0000000, 0000000, 0000000, 0000000, 0000006, 0000031, 0000000, 0000000, 0000004, 0000001, 0000000
בית חורון, 0003575, 0000670, 0000584, 0000000, 0000584, 0000013, 0000010, 0000000, 0000000, 0000000, 0000000, 0000001, 0000002, 0000000, 0000000, 0000302, 0000000, 0000001, 0000158, 0000003, 0000000, 0000000, 0000040, 0000000, 0000000, 0000001, 0000022, 0000000, 0000000, 0000000, 0000000, 0000001, 0000010, 0000002, 0000000, 0000000, 0000005, 0000001, 0000012
בית חירות, 0000877, 0000554, 0000446, 0000001, 0000445, 0000152, 0000000, 0000000, 0000000, 0000000, 0000000, 0000003, 0000011, 0000000, 0000000, 0000009, 0000000, 0000006, 0000015, 0000062, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000112, 0000000, 0000000, 0000000, 0000000, 0000000, 0000002, 0000061, 0000000, 0000000, 0000007, 0000004, 0000001
בית חלקיה, 0002033, 0000347, 0000296, 0000002, 0000294, 0000001, 0000260, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000009, 0000000, 0000001, 0000001, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000000, 0000002, 0000003, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000000, 0000000, 0000000, 0000015
בית חנן, 0000159, 0000500, 0000391, 0000003, 0000388, 0000104, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000010, 0000000, 0000001, 0000009, 0000000, 0000008, 0000044, 0000024, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000131, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000047, 0000000, 0000000, 0000006, 0000000, 0000002
בית חנניה, 0000800, 0000514, 0000403, 0000002, 0000401, 0000099, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000006, 0000000, 0000001, 0000023, 0000000, 0000005, 0000054, 0000029, 0000000, 0000000, 0000003, 0000000, 0000000, 0000000, 0000115, 0000001, 0000000, 0000000, 0000000, 0000000, 0000004, 0000053, 0000000, 0000001, 0000004, 0000001, 0000001
בית חשמונאי, 0001050, 0001344, 0001051, 0000009, 0001042, 0000166, 0000001, 0000000, 0000000, 0000000, 0000000, 0000002, 0000005, 0000000, 0000000, 0000104, 0000000, 0000032, 0000278, 0000038, 0000000, 0000000, 0000010, 0000000, 0000000, 0000000, 0000264, 0000002, 0000000, 0000000, 0000000, 0000000, 0000021, 0000076, 0000000, 0000000, 0000008, 0000004, 0000031
בית יהושע, 0000288, 0000650, 0000517, 0000003, 0000514, 0000103, 0000004, 0000000, 0000000, 0000000, 0000000, 0000002, 0000007, 0000000, 0000002, 0000025, 0000000, 0000006, 0000071, 0000063, 0000000, 0000001, 0000001, 0000000, 0000000, 0000000, 0000163, 0000000, 0000000, 0000000, 0000000, 0000000, 0000006, 0000054, 0000000, 0000000, 0000003, 0000002, 0000001
בית יוסף, 0000265, 0000321, 0000180, 0000003, 0000177, 0000013, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000021, 0000000, 0000006, 0000048, 0000002, 0000000, 0000000, 0000002, 0000000, 0000000, 0000000, 0000009, 0000000, 0000000, 0000000, 0000001, 0000000, 0000001, 0000003, 0000000, 0000000, 0000005, 0000001, 0000065
בית ינאי, 0000200, 0000309, 0000226, 0000000, 0000226, 0000054, 0000000, 0000000, 0000000, 0000000, 0000000, 0000004, 0000019, 0000000, 0000000, 0000001, 0000000, 0000005, 0000013, 0000044, 0000000, 0000000, 0000001, 0000000, 0000000, 0000000, 0000055, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000024, 0000000, 0000002, 0000002, 0000001, 0000000
בית יצחק-שער חפר, 0000326, 0001565, 0001242, 0000007, 0001235, 0000335, 0000002, 0000000, 0000000, 0000002, 0000000, 0000004, 0000020, 0000000, 0000001, 0000025, 0000000, 0000016, 0000143, 0000159, 0000000, 0000001, 0000005, 0000000, 0000000, 0000000, 0000355, 0000000, 0000000, 0000000, 0000000, 0000000, 0000019, 0000133, 0000000, 0000000, 0000005, 0000006, 0000004
בית לחם הגלילית, 0000430, 0000550, 0000426, 0000001, 0000425, 0000116, 0000001, 0000000, 0000000, 0000000, 0000000, 0000002, 0000001, 0000000, 0000000, 0000027, 0000000, 0000008, 0000058, 0000053, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000107, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000046, 0000000, 0000001, 0000003, 0000001, 0000000
בית מאיר, 0000751, 0000359, 0000269, 0000003, 0000266, 0000001, 0000032, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000107, 0000000, 0000001, 0000052, 0000000, 0000000, 0000000, 0000020, 0000000, 0000000, 0000000, 0000007, 0000006, 0000000, 0000000, 0000000, 0000000, 0000008, 0000000, 0000000, 0000000, 0000002, 0000000, 0000030
בית נחמיה, 0000784, 0000595, 0000437, 0000003, 0000434, 0000065, 0000006, 0000000, 0000000, 0000000, 0000000, 0000004, 0000009, 0000000, 0000000, 0000035, 0000000, 0000038, 0000095, 0000033, 0000000, 0000000, 0000003, 0000000, 0000000, 0000000, 0000091, 0000001, 0000000, 0000000, 0000000, 0000000, 0000011, 0000033, 0000001, 0000000, 0000006, 0000000, 0000003
בית ניר, 0000016, 0000349, 0000287, 0000001, 0000286, 0000092, 0000000, 0000000, 0000000, 0000000, 0000000, 0000005, 0000012, 0000000, 0000000, 0000000, 0000000, 0000002, 0000006, 0000119, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000027, 0000000, 0000000, 0000000, 0000000, 0000000, 0000003, 0000016, 0000000, 0000001, 0000001, 0000001, 0000001
בית נקופה, 0000672, 0000398, 0000296, 0000001, 0000295, 0000042, 0000001, 0000000, 0000000, 0000000, 0000000, 0000001, 0000008, 0000000, 0000000, 0000013, 0000000, 0000003, 0000071, 0000033, 0000000, 0000000, 0000007, 0000000, 0000000, 0000000, 0000062, 0000002, 0000000, 0000000, 0000000, 0000000, 0000008, 0000017, 0000000, 0000000, 0000006, 0000000, 0000021
בית עובד, 0000202, 0000251, 0000204, 0000002, 0000202, 0000073, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000005, 0000000, 0000000, 0000002, 0000000, 0000006, 0000018, 0000026, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000042, 0000000, 0000000, 0000000, 0000000, 0000000, 0000002, 0000021, 0000000, 0000000, 0000003, 0000002, 0000002
בית עוזיאל, 0000301, 0000413, 0000289, 0000002, 0000287, 0000021, 0000001, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000048, 0000000, 0000013, 0000066, 0000007, 0000000, 0000000, 0000010, 0000000, 0000000, 0000000, 0000037, 0000005, 0000000, 0000000, 0000000, 0000000, 0000021, 0000022, 0000000, 0000001, 0000002, 0000002, 0000031
בית עזרא, 0000756, 0000772, 0000577, 0000007, 0000570, 0000101, 0000001, 0000000, 0000000, 0000000, 0000000, 0000000, 0000004, 0000000, 0000000, 0000059, 0000003, 0000044, 0000146, 0000011, 0000000, 0000000, 0000006, 0000001, 0000000, 0000000, 0000076, 0000001, 0000000, 0000000, 0000000, 0000000, 0000006, 0000045, 0000000, 0000000, 0000008, 0000001, 0000057
בית עריף, 0000604, 0000632, 0000477, 0000003, 0000474, 0000036, 0000009, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000045, 0000000, 0000012, 0000223, 0000009, 0000000, 0000000, 0000004, 0000000, 0000000, 0000000, 0000034, 0000044, 0000000, 0000000, 0000000, 0000000, 0000006, 0000006, 0000000, 0000000, 0000003, 0000000, 0000042
בית קמה, 0000598, 0000539, 0000438, 0000005, 0000433, 0000114, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000002, 0000000, 0000000, 0000012, 0000000, 0000002, 0000038, 0000117, 0000000, 0000000, 0000001, 0000000, 0000000, 0000000, 0000101, 0000000, 0000000, 0000000, 0000000, 0000000, 0000003, 0000036, 0000001, 0000000, 0000004, 0000001, 0000001
בית קשת, 0000365, 0000345, 0000236, 0000000, 0000236, 0000110, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000025, 0000000, 0000000, 0000008, 0000000, 0000007, 0000006, 0000032, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000024, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000021, 0000000, 0000000, 0000001, 0000000, 0000000
בית רבן, 0000848, 0000305, 0000230, 0000000, 0000230, 0000001, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000168, 0000000, 0000000, 0000012, 0000001, 0000000, 0000000, 0000020, 0000000, 0000000, 0000000, 0000001, 0000001, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000026
בית רימון, 0001162, 0000243, 0000203, 0000000, 0000203, 0000021, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000147, 0000000, 0000000, 0000011, 0000000, 0000000, 0000000, 0000005, 0000000, 0000000, 0000000, 0000002, 0000000, 0000000, 0000000, 0000000, 0000000, 0000009, 0000004, 0000000, 0000000, 0000000, 0000000, 0000004
בית שאן, 0009200, 0013249, 0008393, 0000081, 0008312, 0000392, 0000073, 0000000, 0000000, 0000009, 0000000, 0000003, 0000013, 0000000, 0000004, 0001251, 0000020, 0000196, 0002922, 0000032, 0000003, 0000001, 0000180, 0000002, 0000008, 0000003, 0000366, 0000094, 0000004, 0000000, 0000009, 0000002, 0000089, 0000180, 0000006, 0000001, 0000080, 0000006, 0002363
בית שמש, 0002610, 0046313, 0029872, 0000279, 0029593, 0000753, 0008360, 0000002, 0000001, 0000011, 0000008, 0000020, 0000025, 0000000, 0000019, 0004271, 0000095, 0000141, 0006741, 0000148, 0000002, 0000002, 0000858, 0000004, 0000016, 0000004, 0001273, 0000381, 0000011, 0000000, 0000018, 0000016, 0000404, 0000374, 0000010, 0000008, 0000165, 0000019, 0005433
בית שערים, 0000248, 0000452, 0000385, 0000001, 0000384, 0000097, 0000000, 0000000, 0000000, 0000001, 0000000, 0000001, 0000008, 0000000, 0000002, 0000018, 0000000, 0000003, 0000059, 0000033, 0000000, 0000000, 0000002, 0000000, 0000000, 0000000, 0000096, 0000000, 0000000, 0000000, 0000000, 0000000, 0000003, 0000058, 0000000, 0000000, 0000002, 0000000, 0000001
בית שקמה, 0000747, 0000493, 0000264, 0000000, 0000264, 0000009, 0000006, 0000000, 0000000, 0000001, 0000000, 0000000, 0000002, 0000000, 0000000, 0000034, 0000000, 0000004, 0000135, 0000001, 0000000, 0000000, 0000002, 0000000, 0000000, 0000000, 0000013, 0000002, 0000000, 0000000, 0000000, 0000000, 0000002, 0000007, 0000000, 0000000, 0000003, 0000000, 0000043
ביתן אהרן, 0000252, 0000136, 0000098, 0000001, 0000097, 0000026, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000006, 0000000, 0000000, 0000001, 0000000, 0000001, 0000006, 0000010, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000035, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000012, 0000000, 0000000, 0000000, 0000000, 0000000
ביתר עילית, 0003780, 0016587, 0014069, 0000072, 0013997, 0000015, 0008404, 0000001, 0000000, 0000000, 0000000, 0000002, 0000001, 0000000, 0000000, 0000154, 0000002, 0000001, 0000137, 0000003, 0000001, 0000000, 0000737, 0000000, 0000000, 0000001, 0000010, 0000198, 0000000, 0000000, 0000006, 0000004, 0000051, 0000001, 0000001, 0000000, 0000020, 0000000, 0004247
בלפוריה, 0000094, 0000328, 0000249, 0000000, 0000249, 0000053, 0000001, 0000000, 0000000, 0000000, 0000000, 0000000, 0000005, 0000000, 0000000, 0000026, 0000000, 0000009, 0000046, 0000019, 0000000, 0000001, 0000005, 0000000, 0000000, 0000000, 0000048, 0000004, 0000000, 0000000, 0000000, 0000000, 0000005, 0000018, 0000000, 0000000, 0000003, 0000001, 0000005
בן זכאי, 0000760, 0000509, 0000377, 0000005, 0000372, 0000002, 0000001, 0000000, 0000000, 0000000, 0000000, 0000000, 0000002, 0000000, 0000000, 0000052, 0000000, 0000001, 0000123, 0000001, 0000000, 0000000, 0000007, 0000000, 0000000, 0000000, 0000012, 0000001, 0000000, 0000000, 0000000, 0000000, 0000004, 0000004, 0000000, 0000000, 0000002, 0000000, 0000160
בן עמי, 0000712, 0000527, 0000401, 0000001, 0000400, 0000078, 0000002, 0000000, 0000000, 0000000, 0000000, 0000005, 0000004, 0000000, 0000001, 0000030, 0000000, 0000004, 0000084, 0000033, 0000000, 0000000, 0000001, 0000000, 0000000, 0000000, 0000088, 0000001, 0000000, 0000000, 0000000, 0000000, 0000006, 0000045, 0000000, 0000000, 0000010, 0000002, 0000006
בן שמן (כפר נוער), 0001084, 0000237, 0000154, 0000001, 0000153, 0000039, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000004, 0000000, 0000000, 0000007, 0000000, 0000001, 0000019, 0000013, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000048, 0000001, 0000000, 0000000, 0000000, 0000000, 0000003, 0000014, 0000000, 0000000, 0000000, 0000000, 0000003
בן שמן (מושב), 0002013, 0000547, 0000430, 0000000, 0000430, 0000080, 0000001, 0000000, 0000000, 0000000, 0000000, 0000005, 0000010, 0000000, 0000000, 0000021, 0000000, 0000011, 0000091, 0000037, 0000000, 0000002, 0000000, 0000000, 0000000, 0000000, 0000103, 0000000, 0000000, 0000000, 0000000, 0000000, 0000006, 0000054, 0000000, 0000000, 0000003, 0000001, 0000005
בני ברק, 0006100, 0096861, 0075482, 0000335, 0075147, 0000918, 0044973, 0000013, 0000003, 0000011, 0000004, 0000019, 0000054, 0000000, 0000020, 0002676, 0000093, 0000165, 0003027, 0000190, 0000003, 0000007, 0001057, 0000006, 0000007, 0000008, 0000872, 0001083, 0000011, 0000000, 0000008, 0000012, 0000327, 0000321, 0000009, 0000005, 0000139, 0000021, 0019085
בני דרום, 0000592, 0000333, 0000280, 0000002, 0000278, 0000013, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000193, 0000000, 0000003, 0000027, 0000005, 0000000, 0000000, 0000006, 0000000, 0000000, 0000000, 0000017, 0000000, 0000000, 0000000, 0000000, 0000000, 0000006, 0000001, 0000000, 0000001, 0000002, 0000000, 0000004
בני דרור, 0000386, 0001032, 0000727, 0000003, 0000724, 0000188, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000005, 0000000, 0000002, 0000035, 0000000, 0000014, 0000119, 0000069, 0000000, 0000000, 0000002, 0000000, 0000000, 0000000, 0000189, 0000002, 0000000, 0000000, 0000000, 0000000, 0000013, 0000076, 0000000, 0000000, 0000006, 0000001, 0000002
בני יהודה, 0004015, 0000852, 0000567, 0000007, 0000560, 0000119, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000005, 0000000, 0000003, 0000081, 0000001, 0000009, 0000093, 0000022, 0000000, 0000000, 0000011, 0000000, 0000000, 0000001, 0000129, 0000008, 0000000, 0000000, 0000000, 0000000, 0000008, 0000042, 0000001, 0000000, 0000007, 0000006, 0000014
בני נצרים, 0001363, 0000133, 0000118, 0000000, 0000118, 0000000, 0000001, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000092, 0000000, 0000000, 0000001, 0000000, 0000000, 0000000, 0000017, 0000000, 0000000, 0000000, 0000000, 0000002, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000005
בני עטרות, 0000448, 0000560, 0000469, 0000001, 0000468, 0000112, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000003, 0000000, 0000000, 0000022, 0000000, 0000005, 0000055, 0000053, 0000000, 0000000, 0000004, 0000000, 0000000, 0000000, 0000143, 0000001, 0000000, 0000000, 0000000, 0000000, 0000007, 0000046, 0000000, 0000001, 0000012, 0000001, 0000003
בני עי"ש, 0001066, 0005692, 0003687, 0000086, 0003601, 0000149, 0000010, 0000000, 0000000, 0000008, 0000003, 0000006, 0000008, 0000000, 0000021, 0000375, 0000079, 0000036, 0001527, 0000037, 0000002, 0000004, 0000037, 0000006, 0000002, 0000001, 0000460, 0000128, 0000006, 0000000, 0000003, 0000005, 0000012, 0000195, 0000004, 0000004, 0000082, 0000015, 0000376
בני ציון, 0000418, 0000757, 0000603, 0000002, 0000601, 0000129, 0000001, 0000000, 0000000, 0000000, 0000000, 0000002, 0000017, 0000000, 0000000, 0000022, 0000000, 0000012, 0000075, 0000069, 0000000, 0000000, 0000002, 0000001, 0000000, 0000000, 0000204, 0000000, 0000000, 0000000, 0000000, 0000000, 0000009, 0000049, 0000000, 0000000, 0000003, 0000001, 0000005
בני ראם, 0000588, 0000752, 0000608, 0000004, 0000604, 0000012, 0000030, 0000002, 0000001, 0000000, 0000000, 0000001, 0000001, 0000000, 0000000, 0000251, 0000000, 0000006, 0000096, 0000001, 0000001, 0000000, 0000035, 0000000, 0000000, 0000000, 0000022, 0000032, 0000001, 0000000, 0000000, 0000000, 0000007, 0000002, 0000001, 0000000, 0000001, 0000001, 0000100
בניה, 0000685, 0000612, 0000516, 0000011, 0000505, 0000116, 0000001, 0000000, 0000000, 0000001, 0000000, 0000000, 0000003, 0000000, 0000000, 0000027, 0000000, 0000018, 0000080, 0000036, 0000000, 0000000, 0000008, 0000000, 0000000, 0000000, 0000144, 0000000, 0000000, 0000000, 0000000, 0000000, 0000004, 0000057, 0000001, 0000000, 0000002, 0000001, 0000006
בנימינה-גבעת עדה, 0009800, 0008695, 0006532, 0000034, 0006498, 0001489, 0000011, 0000002, 0000001, 0000003, 0000000, 0000021, 0000102, 0000000, 0000004, 0000399, 0000002, 0000118, 0001122, 0000580, 0000000, 0000003, 0000037, 0000000, 0000004, 0000001, 0001641, 0000020, 0000001, 0000000, 0000001, 0000003, 0000095, 0000474, 0000003, 0000011, 0000089, 0000016, 0000245
בסמ"ה, 0001326, 0005004, 0002781, 0000027, 0002754, 0000172, 0000003, 0000563, 0000000, 0000001, 0000000, 0000727, 0000001, 0000000, 0000000, 0000008, 0000001, 0000026, 0000010, 0000143, 0000001, 0000000, 0000001, 0000001, 0000979, 0000000, 0000004, 0000000, 0000000, 0000000, 0000000, 0000000, 0000004, 0000007, 0000002, 0000014, 0000001, 0000000, 0000085
בסמת טבעון, 0000944, 0004367, 0001731, 0000046, 0001685, 0000168, 0000014, 0000131, 0000001, 0000001, 0000004, 0000084, 0000000, 0000000, 0000002, 0000013, 0000000, 0000074, 0000119, 0000073, 0000000, 0000001, 0000001, 0000001, 0000790, 0000001, 0000027, 0000007, 0000001, 0000000, 0000005, 0000006, 0000000, 0000032, 0000002, 0000003, 0000009, 0000000, 0000115
בענה, 0000483, 0004553, 0003013, 0000028, 0002985, 0000015, 0000003, 0000408, 0000001, 0000001, 0000002, 0000904, 0000001, 0000000, 0000002, 0000019, 0000001, 0000059, 0000022, 0000013, 0000000, 0000000, 0000003, 0000001, 0001423, 0000001, 0000005, 0000000, 0000000, 0000000, 0000000, 0000001, 0000011, 0000014, 0000001, 0000001, 0000002, 0000002, 0000069
בצרה, 0000389, 0000693, 0000551, 0000001, 0000550, 0000088, 0000003, 0000000, 0000000, 0000000, 0000000, 0000004, 0000010, 0000000, 0000001, 0000022, 0000000, 0000017, 0000062, 0000056, 0000000, 0000000, 0000002, 0000000, 0000000, 0000000, 0000206, 0000002, 0000000, 0000000, 0000000, 0000000, 0000006, 0000062, 0000000, 0000000, 0000006, 0000000, 0000003
בצת, 0000589, 0000276, 0000201, 0000000, 0000201, 0000041, 0000000, 0000000, 0000000, 0000000, 0000000, 0000003, 0000001, 0000000, 0000000, 0000017, 0000000, 0000006, 0000044, 0000002, 0000000, 0000000, 0000003, 0000000, 0000000, 0000000, 0000051, 0000001, 0000000, 0000000, 0000000, 0000000, 0000003, 0000025, 0000000, 0000000, 0000003, 0000000, 0000001
